Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Guinea,Guinea,Ebola,Humans,5461382,"PRO/MENA> Ebola update (04): biomarkers, diagnostics, news / تحديث الإيبولا (4): المؤشرات الحيوية، والتشخيص، والأخبار",http://promedmail.org/direct.php?id=20171123.5461382,11/23/17 9:56,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5461382,"PRO/MENA> Ebola update (04): biomarkers, diagnostics, news / تحديث الإيبولا (4): المؤشرات الحيوية، والتشخيص، والأخبار",http://promedmail.org/direct.php?id=20171123.5461382,11/23/17 9:56,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,5461382,"PRO/MENA> Ebola update (04): biomarkers, diagnostics, news / تحديث الإيبولا (4): المؤشرات الحيوية، والتشخيص، والأخبار",http://promedmail.org/direct.php?id=20171123.5461382,11/23/17 9:56,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,5371712,"PRO/AH/EDR> Ebola update (38): vaccines, funding",http://promedmail.org/direct.php?id=20171010.5371712,10/10/17 20:29,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5371712,"PRO/AH/EDR> Ebola update (38): vaccines, funding",http://promedmail.org/direct.php?id=20171010.5371712,10/10/17 20:29,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,5371712,"PRO/AH/EDR> Ebola update (38): vaccines, funding",http://promedmail.org/direct.php?id=20171010.5371712,10/10/17 20:29,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,5348403,"PRO/AH/EDR> Ebola update (37): news, research, funding",http://promedmail.org/direct.php?id=20170929.5348403,9/29/17 9:35,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5348403,"PRO/AH/EDR> Ebola update (37): news, research, funding",http://promedmail.org/direct.php?id=20170929.5348403,9/29/17 9:35,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,5348403,"PRO/AH/EDR> Ebola update (37): news, research, funding",http://promedmail.org/direct.php?id=20170929.5348403,9/29/17 9:35,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,5278444,"PRO/AH/EDR> Ebola update (36): news, research",http://promedmail.org/direct.php?id=20170828.5278444,8/28/17 11:10,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,5252888,"PRO/AH/EDR> Ebola update (35): news, research",http://promedmail.org/direct.php?id=20170816.5252888,8/16/17 14:34,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5252888,"PRO/AH/EDR> Ebola update (35): news, research",http://promedmail.org/direct.php?id=20170816.5252888,8/16/17 14:34,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,5252888,"PRO/AH/EDR> Ebola update (35): news, research",http://promedmail.org/direct.php?id=20170816.5252888,8/16/17 14:34,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,5199541,"PRO/MENA> Ebola update (03): research, vaccines, funding / تحديث فيروس الإيبولا (3): البحوث واللقاحات والتمويل",http://promedmail.org/direct.php?id=20170724.5199541,7/24/17 11:37,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5199541,"PRO/MENA> Ebola update (03): research, vaccines, funding / تحديث فيروس الإيبولا (3): البحوث واللقاحات والتمويل",http://promedmail.org/direct.php?id=20170724.5199541,7/24/17 11:37,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,5199541,"PRO/MENA> Ebola update (03): research, vaccines, funding / تحديث فيروس الإيبولا (3): البحوث واللقاحات والتمويل",http://promedmail.org/direct.php?id=20170724.5199541,7/24/17 11:37,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,5083820,"PRO/AH/EDR> Ebola update (27): news, vaccine",http://promedmail.org/direct.php?id=20170605.5083820,6/5/17 15:25,No Tag,,,,,,-11.79192,8.56028
Sierra Leone,Sierra Leone,Ebola,Humans,5068444,"PRO/EDR> Ebola update (26): news, research",http://promedmail.org/direct.php?id=20170529.5068444,5/29/17 13:40,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,5000661,"PRO/AH/EDR> Ebola update (16): news, research, vaccines, funding",http://promedmail.org/direct.php?id=20170428.5000661,4/28/17 11:08,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,5000661,"PRO/AH/EDR> Ebola update (16): news, research, vaccines, funding",http://promedmail.org/direct.php?id=20170428.5000661,4/28/17 11:08,No Tag,,,,,,-11.79192,8.56028
