Projections_from,Date,Guinea,Liberia,Sierra Leone,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra Leone,ymin1.Sierra Leone,ymax1.Sierra Leone,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra Leone,ymin2.Sierra Leone,ymax2.Sierra Leone,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra Leone,ymin4.Sierra Leone,ymax4.Sierra Leone
2014-05-14,2014-05-15,12.6666666666667,1.225,1.5859375,10,4,19,2,0,5,2,0,6,10,4,17,2,0,5,2,0,6,10,4,18,2,0,5.02499999999998,1.5,0,6
2014-05-21,2014-05-22,12.6666666666667,1.225,1.5859375,8,3,16,1,0,4.02499999999998,1,0,5,9,3,16,1,0,4,1,0,5,8,3,16,1,0,5,1,0,5.02499999999998
2014-05-28,2014-05-29,56.8095238095238,1.225,24,8,3,15,0,0,3,1,0,5,9,3,16,0,0,3,1,0,5,9,3,16,0,0,3,1,0,5
2014-06-04,2014-06-05,27.1666666666667,1.225,26,30,19,42.025,0,0,3,24,11,42,30,18,45,0,0,3,24,13,42,30,18,43,0,0,3,25,12,42
2014-06-11,2014-06-12,42.8333333333333,1.22499999999999,26,33,21,48.025,0,0,3,47,28.975,73,33,21,46,0,0,3,47,28,73,33,21,49,0,0,3,47,28,73
2014-06-18,2014-06-19,3.15789473684208,17.2,68.5,48,32,67,1,0,3,48,31,70,48,33,66,1,0,3,48,31,71.025,48,32,67,1,0,3,48,31,71
2014-06-25,2014-06-26,3.68421052631584,53.5,64.25,30,18,44,13,5,24,101,73.975,134,29.5,18,42,13,5,25,100,73,134.025,29,18.975,43,13,5,25,101,73,133
2014-07-02,2014-07-03,3.65789473684208,27,84.5833333333333,16,8,26.025,119,79,165.025,111,83,142,16,8,25,119,80,166,111,82,143,15,7,26,118,81,167.025,110,84,139.025
2014-07-09,2014-07-10,2.16666666666669,31.5,82.1666666666667,8,3,16,77,53,105,128,100,160,8,3,15,77,53,109,129,100,163,8,3,15.025,78,53,108.025,130,101,161
2014-07-16,2014-07-17,3.66666666666663,48.9,30.5,4,1,10,59,41,82,132,104,165,4,1,10,60,40,84,133,104,164,4,1,10,60,40,82,132.5,105.975,161
2014-07-23,2014-07-24,37.4166666666667,102.225,109,2,0,6,70,50,93.025,79,59,101,2,0,7,70,49,93.025,79,58.975,104.025,2,0,6,69,50,94,80,60,103
2014-07-30,2014-07-31,43.25,195.375,160,12,5,20,126.5,99.975,160,104,82,129,12,5,20,127,99,160.025,104,81,129,12,5,21,127,97,157,105,83.975,131.025
2014-08-06,2014-08-07,19.5,212,105.5,28,17,40.025,285,236.975,337.025,159,129,191,27,15,42,285,237,334,159,130.95,193,28,16,41,286,240,336,160,131,192.025
2014-08-13,2014-08-14,69.5,264.5,97.25,29,16,43,348,294.975,404.025,149,121,180,29,18,43.025,346,298,403,147.5,122,179.025,29,18,41.025,347,295.975,400.025,149,120.975,179
2014-08-20,2014-08-21,58.1428571428571,326.3,115.678571428571,69,50,92,399,344,458,132,106,160.025,69.5,49,94,397,350,448,131,105.975,159,71,51,93,396,347,449,131,104,161
2014-08-27,2014-08-28,101.857142857143,333.485714285714,201.308270676692,93,70.975,118,480,423.975,539.025,129,102,157,92,67.975,120,479,423.925,538,128,100,155,92,69,116,480,422.975,539,128,100.975,158
2014-09-03,2014-09-04,107.142857142857,370.285714285714,215.526315789474,131,101.975,162,510,452.975,569.05,179,147.975,213.025,131,102.975,164,512,453.975,571,180,151,212.025,130,103,162,510,450,572,179,145,211
2014-09-10,2014-09-11,84.8571428571429,384.428571428571,193.736842105263,162,130.975,195,520,466,578.025,244,209,282.025,163,130.975,200.05,520,465,582.025,246,210,283,162.5,133.975,198,520,464,581,246,206,286
