projection_from,Date,Guinea,Liberia,Sierra.Leone,aggregated,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra.Leone,ymin1.Sierra.Leone,ymax1.Sierra.Leone,y1.aggregated,ymin1.aggregated,ymax1.aggregated,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra.Leone,ymin2.Sierra.Leone,ymax2.Sierra.Leone,y2.aggregated,ymin2.aggregated,ymax2.aggregated,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra.Leone,ymin4.Sierra.Leone,ymax4.Sierra.Leone,y4.aggregated,ymin4.aggregated,ymax4.aggregated
2014-05-14,2014-05-15,12.666666666666657,1.2250000000000014,1.5859375,15.477604166666659,10,4,17,2,0,5,2,0,6,14,7,22,10,4,18,2,0,5,2,0,6,14,7,22,10,4,18,2,0,5,2,0,6,14,7,22
2014-05-21,2014-05-22,12.666666666666686,1.2250000000000014,1.5859375,15.477604166666687,8,3,16,1,0,5,1,0,5,12,6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-28,2014-05-29,56.809523809523796,1.2250000000000014,24,82.03452380952379,9,3,16,0,0,3,1,0,5,11,5,18,8,3,16,0,0,3,1,0,5,11,5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-04,2014-06-05,27.166666666666686,1.2250000000000014,26,54.39166666666669,30,18,43,1,0,3,24,12,42,55,41,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-11,2014-06-12,42.833333333333314,1.2249999999999943,26,70.05833333333331,34,21,48,1,0,3,47,28,70,82,64,101,33,21,48,1,0,3,47,29,71,82,63.72500000000001,102,33,21,49,1,0,3,47,28,70,82,64,101
2014-06-18,2014-06-19,3.1578947368420813,17.200000000000003,68.5,88.85789473684208,48,32,65,1,0,4,48,30,69,97,77,118.27499999999964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-06-25,2014-06-26,3.6842105263158373,53.5,64.25,121.43421052631584,30,18,44,13,5,25,100,73,132,144,120,171,30,19,44,13,5,26,99,72,133,145,121,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-02,2014-07-03,3.6578947368420813,27,84.58333333333331,115.2412280701754,17,9,27,117,81,165,110,83,142,246,213,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09,2014-07-10,2.1666666666666856,31.5,82.16666666666669,115.83333333333337,10,4,17,77,53,106,128,100,162,216,186,247,10,4,17,77,52,106,128,99,161,216,186,247,10,4,17,76.5,53,107,128,100,161,216,186,247
2014-07-16,2014-07-17,3.6666666666666288,48.900000000000006,30.5,83.06666666666663,6,2,12,59,41,82,131,103,161,197,170,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23,2014-07-24,37.416666666666686,102.225,109,248.64166666666668,3,0,8,69,49,92,79,59,101,152,128,176.27499999999964,3,0,8,69,49,93,79,59,102,152,127,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-30,2014-07-31,43.25,195.375,160,398.625,14,6,23,126,97,159,104,80,129,244,214,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06,2014-08-07,19.5,212,105.5,337,31,19,45,283,238,335,159,129,191,473,430,522,30,18.97500000000001,45,283,238,331,159,130,191,473,430.725,518,31,19,45,284,238,334,159,129,192,475,431,521
2014-08-13,2014-08-14,69.5,264.5,97.25,431.25,32,20,46,344,293,398,148,120,178,525,479,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,2014-08-21,58.14285714285711,326.29999999999995,115.67857142857144,500.1214285714285,73,53,96,393,343,449,132,107,161,600,551,650,73,53,96,393,342,447,133,107,160,599,551,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-27,2014-08-28,101.85714285714289,333.48571428571427,201.30827067669168,636.6511278195488,96,73,123,476,420,535,129,104,156,702,649.725,755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-03,2014-09-04,107.14285714285711,370.28571428571445,215.52631578947376,692.9548872180453,135,106,167,505,451,566,180,150,214,821,765,880,134,106,168,505,450,565,180,149,212,821,760,879,135,106,166,505,447,564,181,151,214,821,761,880
2014-09-10,2014-09-11,84.85714285714289,384.42857142857133,193.73684210526312,663.0225563909773,166,134,203,516,460,573,246,209,286,930,868,992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-17,2014-09-18,86,873,245,1204,141,113,171,515.5,461,571.0249999999996,247,209.97500000000002,286,903,843,965.2749999999996,140,112,172,515,460,572,247,211,286,903,843,965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-24,2014-09-25,135,416,439,990,121,97,149,833,762,908,263,225,303,1219,1147,1289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-01,2014-10-02,141,228,485,854,142,116,172,689,628,753,393,347,443,1226,1157,1298,142,115,171,689,627,755,392,345.975,443,1224,1154.725,1295,142,116,172,688,627,754,392,347,441.02499999999964,1225,1156,1295
2014-10-08,2014-10-09,113,325,463,901,180,149,213,493,443,545,620,558,684,1294,1221,1367.2749999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-15,2014-10-16,129,416,404.6666666666665,949.6666666666665,162,133,193,380,337,425,653,593,720,1197,1127.725,1267,162,133,194,380,337,425,654,589,718,1196,1127,1268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-22,2014-10-23,76.69230769230762,479.33333333333303,1578.3333333333335,2134.358974358974,152,123.97500000000001,180,377,333.97499999999997,423.02499999999964,573,515,632,1102,1038,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-29,2014-10-30,111.46153846153857,838.8333333333339,106.75,1057.0448717948725,124,99.97500000000001,150,436,391,486,1498,1397.9750000000001,1600.0249999999996,2058,1968.725,2152,124,100,151,436,389,485,1497,1401,1598,2057,1968,2151,124,100,150,436,390,485,1496,1397,1601,2058,1966,2152
2014-11-05,2014-11-06,149.8461538461538,838.833333333333,26.25,1014.9294871794868,121,97,146,703,640.975,765.0249999999996,939,865,1015,1762,1677,1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-12,2014-11-13,93,247,705,1045,141,115,170,814,745,882,431,383,478,1386,1313.725,1461,141,114,170,812,745,881,429,384,478,1384,1310.725,1457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-19,2014-11-20,163,99,526,788,134,109,162,594,540,653,533,483,586,1262,1190.725,1334.2749999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-26,2014-11-27,39.333333333333485,485.33333333333303,713,1237.6666666666665,137,112,165,334,294,375,524,472,576,995,932,1057,137,111,164,334,294,376,524,472,578,995,930,1057,137,112,164,334,294,375,523,472.975,577,995,935,1058
2014-12-03,2014-12-04,118.66666666666652,65.66666666666697,535.5,719.8333333333335,95,75,118,379,335,424,633,575,694,1108,1043,1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-10,2014-12-11,124,78,508.5,710.5,100,79,124,232,200,266.02499999999964,630,574,686,963,901,1024,100,79,124,232,199,266.02499999999964,629,572,688.0249999999996,962,902,1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-17,2014-12-18,181,65,648,894,114,92,140,129,106,155,470,420,520,714,662,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-24,2014-12-25,110,156,442,708,154,125,185,65,49,83,548,496,603,767,710,824.2749999999996,153,125.97500000000001,183,65,48,82,549,497,602,767,713,822,154,127,184,65,48,82.02499999999964,549,497,605,768,713,823
2014-12-31,2015-01-01,74,139,455,668,137,111,165,58,42,75,557,505,613,753,697,807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-07,2015-01-08,25,174,223,422,107,84,132,71,54,90,469,420,517,647,596,698,107,85,131,71,54,90,468,421,516,646,597,697.2749999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-14,2015-01-15,65,147,216,428,61,45,79,112,89,135,340,301,379,512,468,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-01-21,2015-01-22,46,144,178,368,58,42,76,96,75,117,226,195,259.02499999999964,380,342,420,58,42,75,96,76,119,226,195,260,381,344,420,58,42,76,96,75,119,226,194,260.02499999999964,381,342,421
2015-01-28,2015-01-29,58,123,222,403,47,33,63,120,96,145,173,146,203,341,304,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-04,2015-02-05,81,136,204,421,46,33,62,134,108,161,164,138,191,344,308,382,46,32,62,134,108,160,163,137,193,343,309,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-11,2015-02-12,52,126,159,337,48,34,64,159,131,188,143,118,170,350,313,386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-02-18,2015-02-19,64.5,240,159.5,464,46,32,62,142,117,171,129,106,155,318,284,354,46,32,62,142,116,171,129,106,154,318,284,354,46,32,62,142,116,170,129,105,155,318,283,354
