week_starting,projection_from,Liberia,Sierra Leone,Guinea,aggregated,y1.aggregated,y1.Guinea,y1.Liberia,y1.Sierra Leone,y2.aggregated,y2.Guinea,y2.Liberia,y2.Sierra Leone,y3.aggregated,y3.Guinea,y3.Liberia,y3.Sierra Leone,y4.aggregated,y4.Guinea,y4.Liberia,y4.Sierra Leone,ymin1.aggregated,ymin1.Guinea,ymin1.Liberia,ymin1.Sierra Leone,ymin2.aggregated,ymin2.Guinea,ymin2.Liberia,ymin2.Sierra Leone,ymin3.aggregated,ymin3.Guinea,ymin3.Liberia,ymin3.Sierra Leone,ymin4.aggregated,ymin4.Guinea,ymin4.Liberia,ymin4.Sierra Leone,ymax1.aggregated,ymax1.Guinea,ymax1.Liberia,ymax1.Sierra Leone,ymax2.aggregated,ymax2.Guinea,ymax2.Liberia,ymax2.Sierra Leone,ymax3.aggregated,ymax3.Guinea,ymax3.Liberia,ymax3.Sierra Leone,ymax4.aggregated,ymax4.Guinea,ymax4.Liberia,ymax4.Sierra Leone
10/5/14,10/6/14,290,480,126,896,1336,179,560,592,1598,210.5,582,745,1946,251,639,920.5,2392,296,727,1141.5,1203,144,281,526.975,1457.975,171,383,648.975,1740.9,204,516.975,780,2090.875,240,631.95,943.975,1475.05,247,626,887.025,1773.175,340.025,655.025,1230.025,2199.025,481,732.025,1732,2798.15,682.025,891.125,2452.075
10/12/14,10/13/14,320,425,114,859,950,153,229,566,987.5,163,192,630,1047.5,175,161,709,1127,190,138,791,882,118,189,493,914.95,126,153.975,527.975,966,131,123.975,568,1026.925,134.975,101.975,607.975,1017.025,191,270,644.05,1061.025,206,235,747,1137.025,232,205,869,1238,261,181.025,1024
10/19/14,10/20/14,398,1005,78,1481,865,138,227,504,875,140,209,520.5,886,143,192,546.5,898,146,169,572.5,805.95,107,173,438,809,109,175,449,816,105.975,150,458,824.975,109,127,467.95,927,172,269,564.025,939,176.025,252,607,961,186,244,656.025,984.025,196.025,265,709
10/26/14,10/27/14,833,753,105,1691,1420,162,290,967,1808,206,292,1306.5,2169,252,282,1631.5,2621,308,278.5,2034,1344.975,131,251,882.975,1712.975,166,247.975,1186.975,2059.95,202.975,236,1444,2477.975,246,228,1753.85,1495.025,195,334.025,1052.025,1898,248,339.025,1437.025,2286,306.025,337.025,1848,2760.025,370,335.025,2341.025
11/2/14,11/3/14,833,35,129,997,1640.5,183,589,1050,1827,204,647,1169,2031,237.5,685,1360,2231,270,723,1575,1434.975,145,226,740,1632.975,123,268.975,838.975,1774.95,105,284,862,1881.875,94,274.975,823.975,1815.1,226.025,665,1156.025,2030.025,260.025,745.05,1309.025,2267.025,298.025,807.025,1561.05,2547.025,343.025,871.05,1859
11/9/14,11/10/14,413,515,116,1044,1490,151,829,508,1547,158,919,470,1655,169,1001,487,1784,181,1090,514,1416,123,755.975,461,1465.975,128,821,419,1571.975,139,874.95,426.975,1685.925,147,936.9,444.975,1572.025,181,903.05,564,1630.025,187,1014,529.025,1749,202,1122,554.025,1880.025,218,1251,589
11/16/14,11/17/14,133,553,147,833,1231,139,629,462,1230,140,605,483,1253,144,608,497.5,1281,148,617.5,515,1162,113,574,415.975,1160,114,543,431.975,1178.975,117.975,536,439.975,1208.95,122,530.975,443.975,1302.05,165,691.025,512,1297.05,168,678.025,541,1328,173,691.075,564.025,1362,178,709.025,589
11/23/14,11/24/14,500,670,59,1229,1008.5,135,354,518,977,133,308,535,972,133,290,547.5,974,134,274,564,944.975,109,312.975,466.975,917.975,109,266.975,482.975,912,109,245.975,483.975,903,108,232,488.975,1073,158,401,574,1035,158,352,591,1037,160.025,337.025,620,1042.05,162,325,644
11/30/14,12/1/14,81,689,122,892,1303,134,452,753,1437,156,511,861,1595,177,554,991.5,1767,202,600,1143,1198,67,226.975,658.975,1272.975,59.975,190,556,1372.975,50,169,492.925,1469.975,42,141,420.975,1402,171,534,843.025,1581.025,199.025,608.025,1009,1789,223,702.025,1208,2027,261.025,786.025,1427.225
12/7/14,12/8/14,76,472,109,657,1132,142,208,782,1250,159,179,909,1372,176,163,1032,1512,194,153,1158,1059.95,114,177,706.95,1174,130,145.975,809.975,1285,144,131,894,1413.975,156.975,119,972.95,1204,171,245,858.025,1324.025,192,215,1017.025,1460.05,211,198.025,1176,1614,241,192.025,1369
